LtgNr;Kurzname1;Pin1;xy1;Kontakt1;Kurzname2;Pin2;xy2;Kontakt2;Sonderltg;Innenleiter;Longueur;Farbe;Quer.
705003;ESPB;1;1-72C;N_105_119_02;EMBF;15A;1-33H;N_105_119_04;-;-;2390;RT/GE;4
705004;ESPB;30;1-72C;N_105_118_02;EMBF;13A;1-33H;N_907_327_01;-;-;2390;RT/WS;2,5
705005;ESPB;6;1-72C;N_107_397_01;SP_30A_F2;1;1-48H;-;-;-;1855;RT/SW;0,5
705006;SP_MB685A1;1;1-72B;-;ESPB;14;1-72C;N_105_119_02;-;-;260;BR;4
705007;SP_MB685A1;1;1-72B;-;ESPB;46;1-72C;N_105_119_02;-;-;260;BR;4
705008;ESPB;21;1-72C;N_107_396_01;7TRKMR;1;1-86B;N_105_974_01;-;-;1055;BL/GN;0,35
705009;ESPB;22;1-72C;N_107_396_01;7TRKMR;2;1-86B;N_105_974_01;-;-;1055;GR/BL;0,35
705010;ESPB;23;1-72C;N_107_396_01;7TRKMR;3;1-86B;N_105_974_01;-;-;1055;BL;0,35
705011;ESPB;24;1-72C;N_107_396_01;7TRKMR;4;1-86B;N_105_974_01;-;-;1055;GN/GR;0,35
705021;ESPB;27;1-72C;N_107_396_01;1FWVW;14;1-43F;N_103_360_03;-;-;2126;GR/RT;0,35
705022;ESPB;45;1-72C;N_107_396_01;1FWVW;13;1-43F;N_103_360_03;-;-;2126;GR/WS;0,35
705023;ESPB_R;27;1-53D;N_107_396_01;1FWVW;14;1-43F;N_103_360_03;-;-;1315;GR/RT;0,35
705024;ESPB_R;45;1-53D;N_107_396_01;1FWVW;13;1-43F;N_103_360_03;-;-;1315;GR/WS;0,35
705033;SP_MB792A2;1;1-53B;-;EBKVB_R;1;1-56B;N_105_112_03;-;-;378;BR;0,5
705034;EBKVB_R;2;1-56B;N_105_112_03;SAMB;13;1-82F;N_907_649_01;-;-;1911;BL/BR;0,5
705035;EBKVA_R;1;1-57C;N_105_120_02;EMBF;32A;1-33H;N_105_120_04;-;-;2441;RT;6
705036;MB685A_R;1;1-69B;6Q0_971_859_A;EBKVA_R;9;1-57C;N_105_120_02;-;-;580;BR;6
705037;EBKVA_R;11;1-57C;N_105_111_03;3TRKMR;2;1-87G;N_105_981_01;-;-;2348;SW/RT;0,35
705045;ESPB_R;7;1-53D;N_107_396_01;EBKVA_R;16;1-57C;N_105_111_03;SL705045;2-sw;2321;SW;0,35
705046;ESPB_R;8;1-53D;N_107_396_01;EBKVA_R;15;1-57C;N_105_111_03;SL705045;1-or/sw;2321;OR/SW;0,35
705049;SP_MB671A1;1;1-54E;-;ESPB_R;14;1-53D;N_105_119_02;-;-;250;BR;4
705050;SP_MB671A1;1;1-54E;-;ESPB_R;46;1-53D;N_105_119_02;-;-;250;BR;4
705051;ESPB_R;1;1-53D;N_105_119_02;EMBF;15A;1-33H;N_105_119_04;-;-;1580;RT/GE;4
705052;ESPB_R;30;1-53D;N_105_118_02;EMBF;13A;1-33H;N_907_327_01;-;-;1580;RT/WS;2,5
705053;ESPB_R;6;1-53D;N_107_397_01;SP_30A_F2;1;1-48H;-;-;-;1044;RT/SW;0,5
705054;ESPB_R;21;1-53D;N_107_396_01;7TRKMR;1;1-86B;N_105_974_01;-;-;2806;BL/GN;0,35
705055;ESPB_R;22;1-53D;N_107_396_01;7TRKMR;2;1-86B;N_105_974_01;-;-;2806;GR/BL;0,35
705056;ESPB_R;23;1-53D;N_107_396_01;7TRKMR;3;1-86B;N_105_974_01;-;-;2806;BL;0,35
705057;ESPB_R;24;1-53D;N_107_396_01;7TRKMR;4;1-86B;N_105_974_01;-;-;2806;GN/GR;0,35
705059;EMBF;2A;1-33H;N_907_326_01;SP_30A_F2;1;1-48H;-;-;-;736;RT/SW;0,5
705060;EMBF;41;1-33H;N_105_117_01;SP_30A_F2;1;1-48H;-;-;-;736;RT/SW;0,5
705061;ESPB;33;1-72C;N_107_396_01;2FWVW;3;1-42D;N_103_360_03;-;-;2056;GR/SW;0,35
705063;ESPB_R;33;1-53D;N_107_396_01;2FWVW;3;1-42D;N_103_360_03;-;-;1245;GR/SW;0,35
705065;MB886D_R;1;1-52J;6Q0_971_859_A;SP_MB671A1;1;1-54E;-;-;-;1005;BR;6
705066;MB685A;1;1-70B;6Q0_971_859_A;SP_MB685A1;1;1-72B;-;-;-;470;BR;6
705089;EBKVA_R;12;1-57C;N_105_111_03;SP_CANHFW3;1;1-71D;-;SL705089;1-ws;813;WS;0,35
705090;EBKVA_R;13;1-57C;N_105_111_03;SP_CANLFW3;1;1-71D;-;SL705089;2-or/br;793;OR/BR;0,35
705091;SP_CANHFW3;1;1-71D;-;2TRKMR;3;1-87G;N_105_981_01;SL705090;1-ws;1724;WS;0,35
705092;SP_CANLFW3;1;1-71D;-;2TRKMR;4;1-87G;N_105_981_01;SL705090;2-or/br;1744;OR/BR;0,35
705099;SP_CANHFW3;1;1-71D;-;1ELE;1;1-42E;N_103_360_03;SL705099;1-ws;1517;WS;0,35
705100;SP_CANLFW3;1;1-71D;-;1ELE;2;1-42E;N_103_360_03;SL705099;2-or/br;1537;OR/BR;0,35
705109;SP_MB673B1;1;1-41F;-;EBKVB_2;1;1-49H;N_105_112_03;-;-;935;BR;0,5
705110;EBKVB_2;2;1-49H;N_105_112_03;SAMB;13;1-82F;N_907_649_01;-;-;1197;BL/BR;0,5
705111;EBKVA_2;1;1-47H;N_105_120_02;EMBF;32A;1-33H;N_105_120_04;-;-;1295;RT;6
705112;MB886D;1;1-51J;6Q0_971_859_A;EBKVA_2;9;1-47H;N_105_120_02;-;-;560;BR;6
705113;EBKVA_2;11;1-47H;N_105_111_03;3TRKMR;2;1-87G;N_105_981_01;-;-;1482;SW/RT;0,35
705140;EBKVA_2;16;1-47H;N_105_111_03;ESPB;7;1-72C;N_107_396_01;SL705140;2-sw;2186;SW;0,35
705141;ESPB;8;1-72C;N_107_396_01;EBKVA_2;15;1-47H;N_105_111_03;SL705140;1-or/sw;2186;OR/SW;0,35
705142;SP_CANHBKV;1;1-55G;-;EBKVA_2;16;1-47H;N_105_111_03;SL705142;2-sw;908;SW;0,35
705143;SP_CANLBKV;1;1-56G;-;EBKVA_2;15;1-47H;N_105_111_03;SL705142;1-or/sw;887;OR/SW;0,35
705144;SP_CANHBKV;1;1-55G;-;ESPB;7;1-72C;N_107_396_01;SL705144;2-sw;1804;SW;0,35
705145;SP_CANLBKV;1;1-56G;-;ESPB;8;1-72C;N_107_396_01;SL705144;1-or/sw;1783;OR/SW;0,35
705146;3TRKMR;5;1-87G;N_105_981_01;SP_CANHBKV;1;1-55G;-;SL705146;2-sw;1100;SW;0,35
705147;SP_CANLBKV;1;1-56G;-;3TRKMR;6;1-87G;N_105_981_01;SL705146;1-or/sw;1079;OR/SW;0,35
705148;SP_CANHBKV;1;1-55G;-;EBKVA_R;16;1-57C;N_105_111_03;SL705148;2-sw;1854;SW;0,35
705149;SP_CANLBKV;1;1-56G;-;EBKVA_R;15;1-57C;N_105_111_03;SL705148;1-or/sw;1833;OR/SW;0,35
705150;SP_CANHBKV;1;1-55G;-;ESPB_R;7;1-53D;N_107_396_01;SL705150;2-sw;666;SW;0,35
705151;SP_CANLBKV;1;1-56G;-;ESPB_R;8;1-53D;N_107_396_01;SL705150;1-or/sw;688;OR/SW;0,35
705152;EBKVA_R;17;1-57C;N_105_115_03;1FWVW;8;1-43F;N_103_190_02;-;-;2176;BR/WS;2,5
705153;EBKVA_R;26;1-57C;N_105_115_03;1FWVW;7;1-43F;N_103_190_02;-;-;2176;RT/GE;2,5
705154;ESPB;19;1-72C;N_107_396_01;2FWVW;4;1-42D;N_103_360_03;-;-;2056;GR/BL;0,35
705155;ESPB_R;19;1-53D;N_107_396_01;2FWVW;4;1-42D;N_103_360_03;-;-;1245;GR/BL;0,35
705156;EBKVA_2;17;1-47H;N_105_115_03;1FWVW;8;1-43F;N_103_190_02;-;-;1030;BR/WS;2,5
705157;EBKVA_2;26;1-47H;N_105_115_03;1FWVW;7;1-43F;N_103_190_02;-;-;1030;RT/GE;2,5
705160;ESPB;42;1-72C;N_107_396_01;SP_CANHFWV1;1;1-50A;-;SL705160;1-ws;644;WS;0,35
